id,title,addr1,map_x,map_y,flag_nm,type,parking_space,use_time_festival,tel,modified_time,play_time
KC490PC22N000131,꽃바위로 노상 주차장,울산광역시 동구 꽃바위로 325,129.4135477,35.47925774,공영,노상,553,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000133,대송 공영주차장,울산광역시 동구 학문로 100,129.4189674,35.5050164,공영,노상,96,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000134,화암 등대길 주차장,울산광역시 동구 화암등대길 50,129.4147723,35.47496956,공영,노상,434,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000136,주전북구경계,울산광역시 동구 동해안로 734,129.4523343,35.57167038,공영,노외,73,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000139,축구경기장1층,울산광역시 남구 문수로 44,129.2595317,35.53526694,공영,부설,169,혼합,052-220-2005,20221130,00:00 - 23:59
KC490PC22N000140,전망대(테니스장등),울산광역시 남구 문수로 44,129.2595317,35.53526694,공영,부설,470,혼합,052-220-2007,20221130,00:00 - 23:59
KC490PC22N000141,궁도장,울산광역시 남구 문수로 44,129.2595317,35.53526694,공영,부설,103,무료,052-220-2009,20221130,00:00 - 23:59
KC490PC22N000142,삼산공영주차장,울산광역시 남구 달삼로 77,129.3375585,35.53685141,공영,부설,102,혼합,052-227-2817,20221130,00:00 - 23:59
KC490PC22N000144,옥류로공영주차장,울산광역시 동구 옥류로 19-1,129.4262842,35.54078923,공영,노상,83,혼합,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000145,일산동주차장,울산광역시 동구 보성길 48,129.4306635,35.4978146,공영,노상,249,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000147,전하2동주차장,울산광역시 동구 진성14길 78,129.4295114,35.51543472,공영,노상,110,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000148,명덕로주차장,울산광역시 동구 명덕로 27,129.426575,35.52298969,공영,노상,58,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000149,남목1동주차장,울산광역시 동구 방어진순환도로 1186,129.4219009,35.53965579,공영,노상,108,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000158,동문주차장,울산광역시 남구 대공원로 94,129.2939195,35.53098415,공영,부설,519,혼합,052-226-0334,20221130,00:00 - 23:59
KC490PC22N000159,문수실내수영장,울산광역시 남구 문수로 44,129.2595317,35.53526694,공영,부설,819,혼합,052-220-2002,20221130,00:00 - 23:59
KC490PC22N000160,축구경기장VIP,울산광역시 남구 문수로 44,129.2595317,35.53526694,공영,부설,210,혼합,052-220-2004,20221130,00:00 - 23:59
KC490PC22N000161,문창시장공영주차장,대전광역시 중구 대전천서로 279,127.4384886,36.31561672,공영,노외,61,혼합,042-606-7232,20220916,09:00 - 20:00
KC490PC22N000167,선화동제1노외,대전광역시 중구 대종로561번길 15,127.4202841,36.33230442,공영,노외,113,혼합,042-606-6865,20220916,09:00 - 18:00
KC490PC22N000169,안영동제4노외,대전광역시 중구 뿌리공원로 47,127.3844931,36.28533721,공영,노외,247,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000191,대사동제2노외,대전광역시 중구 보문산공원로497번길 81-7,127.4195651,36.31047717,공영,노외,70,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000192,태평2동제2노상,대전광역시 중구 유등천동로 500,127.3903261,36.3256533,공영,노상,62,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000193,태평2동제4노상,대전광역시 중구 유등천동로 554,127.3937095,36.32958603,공영,노상,79,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000196,오류동제2노상,대전광역시 중구 계룡로 852,127.406635,36.32526739,공영,노상,53,혼합,042-606-6865,20220916,08:00 - 22:00
KC490PC22N000201,선화동제3노상,대전광역시 중구 중앙로 101,127.4207316,36.32677115,공영,노상,52,혼합,042-606-6865,20220916,08:00 - 22:00
KC490PC22N000203,유천2동제1노상,대전광역시 중구 문화로 149,127.4018983,36.31377283,공영,노상,102,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000205,유천2동제6노상,대전광역시 중구 문화로105번길 30,127.396991,36.31360908,공영,노상,68,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000206,중촌동제1노상,대전광역시 중구 목중로26번길 29,127.4109113,36.33861226,공영,노상,70,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000213,월포마을 2주차장,경상남도 남해군 남면 남서대로 611-17,127.9050425,34.76717298,공영,노외,100,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000216,미조 체육공원 주차장,전라남도 보성군 웅치면 일림로 1145,128.0264315,34.72714846,공영,노외,79,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000217,설리해수욕장 주차장,경상남도 남해군 미조면 미송로303번안길 2-2,128.0265317,34.70472766,공영,노외,58,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000218,물건 어부림 주차장,경상남도 남해군 삼동면 동부대로1030번길 70,128.0499545,34.79580002,공영,노외,57,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000219,한려체육공원 주차장,경상남도 남해군 상주면 양아로 53-17,127.9811143,34.72331334,공영,노외,128,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000226,화방사주차장,경상남도 남해군 고현면 화방사길 104,127.8649842,34.86545156,공영,노상,55,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000231,공설운동장 주차장,경상남도 창녕군 창녕읍 창녕대로 305,127.892329,34.83464722,공영,노외,195,무료,055-860-3455,20220923,00:00 - 23:59
KC490PC22N000234,장기7,경기도 김포시 김포한강3로 291,126.6587441,37.64171447,공영,노외,321,유료,031-996-6584,20220927,09:00 - 22:00
KC490PC22N000239,남해읍간선도로공영주차장,경상남도 남해군 남해읍 화전로43번길 1,127.8939838,34.83934308,공영,노상,65,유료,055-860-3455,20220923,08:00 - 20:00
KC490PC22N000244,고촌공영주차장,경기도 김포시 고촌읍 은행영사정로 10,126.7726398,37.60067559,공영,노외,58,유료,031-996-6584,20220927,09:00 - 22:00
KC490PC22N000245,장기① 공영주차장,경기도 김포시 김포한강1로 77-15(장기동),126.6690541,37.6455103,공영,노외,78,유료,031-996-6584,20220927,10:00 - 23:00
KC490PC22N000246,통진공영주차장,경기도 김포시 통진읍 서암로 98,126.6003753,37.69366196,공영,노외,206,유료,031-996-6584,20220927,10:00 - 21:00
KC490PC22N000250,장기③공영주차장,경기도 김포시 김포한강1로78번길 61-5,126.6725146,37.64376317,공영,노외,82,유료,031-996-6584,20220927,10:00 - 23:00
KC490PC22N000253,장기5,경기도 김포시 김포한강2로 23번길  76,126.680359,37.63984166,공영,노외,104,유료,031-996-6584,20220927,09:00 - 23:00
KC490PC22N000255,사우2구역 노상주차장,경기도 김포시 돌문로 62번길,126.7161459,37.6202343,공영,노상,104,유료,031-996-6584,20220927,10:00 - 19:00
KC490PC22N000261,대곶 공영주차장,경기도 김포시 대곶면 율생중앙로 15,126.5830375,37.6492103,공영,노외,86,무료,031-996-6584,20220927,00:00 - 23:59
KC490PC22N000262,사우② 공영주차장,경기도 김포시 돌문로 16(사우동),126.7212102,37.61856089,공영,노외,94,유료,031-996-6584,20220927,09:00 - 22:00
KC490PC22N000263,북변자주식 공영주차장,경기도 김포시 봉화로 182번길 18(북변동),126.7027057,37.62834258,공영,노외,70,유료,031-996-6584,20220927,09:00 - 23:59
KC490PC22N000265,산청군 보건의료원 주변 주차장,경상남도 산청군 산청읍 중앙로 97,127.8842361,35.4160184,공영,노외,53,무료,055-970-6833,20220928,00:00 - 23:59
KC490PC22N000272,사우5구역 노상주차장,경기도 김포시 봉화로 3-22,126.7162677,37.61701396,공영,노상,92,무료,031-980-2330,20220927,00:00 - 23:59
KC490PC22N000276,청학하나,부산광역시 영도구 청학서로 88,129.0592793,35.09680071,공영,노외,57,유료,051-419-4552,20221005,00:00 - 23:59
KC490PC22N000278,청학2동,부산광역시 영도구 청학동로 18-1,129.0622152,35.08920619,공영,노외,53,유료,051-419-4552,20221005,00:00 - 23:59
KC490PC22N000285,남항방파제,부산광역시 영도구 남항서로 52,129.034834,35.08558483,공영,노상,123,유료,051-419-4552,20221005,08:00 - 20:00
KC490PC22N000289,하수종말처리장옆,부산광역시 영도구 해양로 247,129.0759224,35.08648588,공영,노상,66,유료,051-419-4552,20221005,08:00 - 20:00
KC490PC22N000290,남항시장,부산광역시 영도구 절영로93번길 41,129.0407422,35.08826833,공영,노외,66,유료,051-419-4552,20221005,00:00 - 23:59
KC490PC22N000291,삼산노상,울산광역시 남구 왕생로 39,129.3316031,35.53691288,공영,노상,370,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000292,삼산1,울산광역시 남구 화합로134번길 15,129.3424493,35.53695851,공영,노외,120,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000293,태화강둔치,울산광역시 남구 남산로 382,129.3077368,35.55057663,공영,노외,248,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000294,무거동,울산광역시 남구 대학로147번길 41-26,129.2596407,35.55124507,공영,노외,145,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000298,신삼호교,울산광역시 중구 구루미9길 6,129.2738616,35.55517436,공영,노외,127,혼합,052-290-7630,20221130,00:00 - 23:59
KC490PC22N000300,태화둔치4 공영주차장,울산광역시 중구 내오산로 99-1,129.285973,35.55155513,공영,노외,93,혼합,052-290-7630,20221130,00:00 - 23:59
KC490PC22N000303,공구상가앞,울산광역시 남구 갈밭로 24,129.3426384,35.53578533,공영,노상,60,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000304,여천천2,울산광역시 남구 두왕로318번길 7,129.3105599,35.53077008,공영,노상,66,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000305,울산병원앞,울산광역시 남구 신정로148번길 47,129.3235608,35.54653833,공영,노외,98,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000307,야음동,울산광역시 남구 신선로 190,129.3332156,35.52243156,공영,노외,103,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000308,신정동지하,울산광역시 남구 봉월로 지하 175,129.3076853,35.54800959,공영,노외,139,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000309,공구월드상가옆,울산광역시 남구 갈밭로16,129.3422824,35.53586568,공영,노외,80,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000310,옥동구법원부지,울산광역시 남구 법대로14번길 34,129.2873485,35.53715609,공영,노외,330,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000311,왕생이,울산광역시 남구 왕생로77번길 3-1,129.3296285,35.5400934,공영,노외,107,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000312,새미골,울산광역시 남구 장생포고래로179번길 9,129.3742923,35.50284307,공영,노외,117,무료,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000313,남구청부설,울산광역시 남구 돋질로233,129.3295216,35.54373999,공영,부설,206,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000314,박물관부설,울산광역시 남구 장생포고래로 252,129.3833184,35.50352018,공영,부설,230,혼합,052-226-0945,20221130,00:00 - 23:59
KC490PC22N000318,옥포국제시장,경상남도 거제시 옥포대첩로 43,128.6921455,34.8940629,공영,노외,146,유료,055-639-4565,20220922,08:00 - 20:00
KC490PC22N000319,사동농협 앞 공영주차장,전라남도 광양시 구마6길 8,127.6889386,34.94962823,공영,노외,52,무료,061-797-2871,20220922,00:00 - 23:59
KC490PC22N000321,청송주차장,경상북도 청송군 청송읍 중앙로 209,129.0530156,36.43574,공영,노상,104,무료,054-870-6144,20220919,00:00 - 23:59
KC490PC22N000323,구 우시장주차장,경상북도 청송군 진보면 진안남2길 5,129.0460153,36.52823524,공영,노외,70,무료,054-870-6144,20220919,00:00 - 23:59
KC490PC22N000347,제21노상주차장,경상북도 문경시 매봉1길 35,128.1829688,36.58860164,공영,노상,74,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000348,제23노상주차장,경상북도 문경시 당교로 253,128.1906133,36.58696327,공영,노상,111,유료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000349,제25노상주차장,경상북도 문경시 중앙로 21,128.1931748,36.58855652,공영,노상,57,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000350,제27노상주차장,경상북도 문경시 중앙로 148,128.2014004,36.59773811,공영,노상,68,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000353,문화예술회관,경상북도 문경시 신흥로 101,128.1981757,36.59072047,공영,부설,195,무료,054-550-8393,20220922,09:00 - 18:00
KC490PC22N000354,문경시의회,경상북도 문경시 중앙로 50,128.1967625,36.58992828,공영,부설,95,유료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000355,영강문화센터,경상북도 문경시 점촌5길 20,128.1984904,36.59748626,공영,부설,106,유료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000356,문경시보건소,경상북도 문경시 점촌1길 9,128.1978627,36.59602344,공영,부설,69,유료,054-550-8057,20220922,09:00 - 18:00
KC490PC22N000358,제4노상주차장,경상북도 문경시 신흥로 121,128.2000202,36.59235991,공영,노상,128,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000359,제6노상주차장,경상북도 문경시 돈달로 97,128.1969259,36.59951321,공영,노상,58,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000364,제2공영주차장,경상북도 문경시 중앙4길 28-1,128.2018037,36.59407391,공영,노외,170,무료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000368,제11공영주차장,경상북도 문경시 시청2길 34,128.187017,36.58735753,공영,노외,192,유료,054-550-6903,20220922,08:00 - 19:00
KC490PC22N000370,제15공영주차장,경상북도 문경시 점촌역길 3,128.2028036,36.59548934,공영,노외,60,유료,054-550-6903,20220922,09:00 - 18:00
KC490PC22N000371,제2주차장,경상북도 문경시 문경읍 새재로 854,128.0792882,36.75496313,공영,노외,540,무료,054-572-1150,20220922,09:00 - 18:00
KC490PC22N000375,장내 이병철생가 주차장,경상남도 의령군 정곡면 법정로8길 4-6,128.3259438,35.38081421,공영,노외,74,무료,055-570-3100,20220920,00:00 - 23:59
KC490PC22N000380,내조마을 주차장,경상남도 의령군 칠곡면 자굴산로 142,128.1951762,35.353586,공영,노외,66,무료,055-570-3100,20220920,00:00 - 23:59
KC490PC22N000392,의령시장 제2주차장(의령전통시장주차빌딩),경상남도 의령군 의령읍 의병로16길 14-1,128.2599603,35.31831488,공영,노외,50,무료,055-570-3100,20220920,00:00 - 23:59
KC490PC22N000414,평촌마을 주차장,경상남도 의령군 가례면 운암로1길 10-8,128.119822,35.366736,공영,노외,50,무료,055-570-3100,20220920,00:00 - 23:59
KC490PC22N000419,천북굴단지 공영2주차장,충청남도 보령시 천북면 사호장은로 657,126.4889239,36.50753272,공영,노외,167,혼합,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000426,대천해수욕장 제2주차장,충청남도 보령시 대해로 857,126.5204229,36.30702392,공영,노외,845,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000427,대천해수욕장 제4주차장,충청남도 보령시 대천항로 258,126.5112229,36.3203193,공영,노외,703,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000428,대천해수욕장 제6주차장,충청남도 보령시 해수욕장11길 2,126.5104435,36.31673664,공영,노외,101,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000429,대천해수욕장 제8주차장,충청남도 보령시 대천항로 178,126.5173153,36.31630129,공영,노외,779,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000430,대천항주차장,충청남도 보령시 대천항로 370,126.5061075,36.32668145,공영,노외,231,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000432,무창포해수욕장 제2주차장,충청남도 보령시 웅천읍 열린바다로 271,126.538995,36.24632722,공영,노외,120,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000433,무창포해수욕장 제4주차장,충청남도 보령시 웅천읍 열린바다로 345-3,126.5349178,36.24100901,공영,노외,166,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000434,무창포해수욕장 제6주차장,충청남도 보령시 웅천읍 열린바다1길 78,126.5313055,36.23922382,공영,노외,100,무료,041-930-3974,20220914,00:00 - 23:59
KC490PC22N000443,소태역내,광주광역시 동구 남문로 지하 587(소태동),126.9324374,35.12328482,공영,부설,102,혼합,062-604-8085,20220913,08:00 - 20:00
KC490PC22N000444,도시철도공사주차장,광주광역시 서구 상무대로 760,126.8477674,35.1454012,공영,부설,305,혼합,062-604-8085,20220913,10:30 - 19:30
KC490PC22N000469,낙동강둔치주차장-수상동,경상북도 안동시 공단로 22,128.7000941,36.54920372,공영,노외,1000,무료,054-840-5424,20220907,00:00 - 23:59
KC490PC22N000470,낙동강둔치주차장-운흥동,경상북도 안동시 육사로 239,128.7296916,36.55867597,공영,노외,300,무료,054-840-5424,20220907,00:00 - 23:59
KC490PC22N000471,낙동강둔치주차장-정하동,경상북도 안동시 강남로 242-4,128.7203603,36.55254425,공영,노외,200,무료,054-840-5424,20220907,00:00 - 23:59
KC490PC22N000472,월영교,경상북도 안동시 석주로 197,128.7582418,36.57674613,공영,노외,334,무료,054-840-5424,20220907,00:00 - 23:59
KC490PC22N000473,도산서원,경상북도 안동시 도산면 도산서원길 155,128.8402918,36.72862054,공영,노외,189,유료,054-840-5424,20220907,09:00 - 18:00
KC490PC22N000476,안동시청 부설주차장,경상북도 안동시 퇴계로 115(명륜동),128.7302592,36.56818304,공영,부설,552,혼합,054-840-5424,20220907,08:00 - 19:00
KC490PC22N000482,풍산시장 주차장,경상북도 안동시 풍산읍 장터중앙길 25,128.573615,36.57790005,공영,노외,119,무료,054-840-5424,20220907,00:00 - 23:59
KC490PC22N000483,구시장 주차장,경상북도 안동시 퇴계로 66(남문동),128.726554,36.56504669,공영,노외,118,유료,054-840-5424,20220907,09:00 - 22:00
KC490PC22N000484,중앙신시장 주차타워,경상북도 안동시 경동로 602(옥야동),128.7237306,36.56297787,공영,노외,197,유료,054-840-5424,20220907,10:00 - 19:00
KC490PC22N000498,문화회관 및 문화공영주차장,경상북도 김천시 학사대1길 73-1,128.121891,36.115871,공영,노상,73,유료,054-420-6843,20220916,00:00 - 23:59
KC490PC22N000502,모암,경상북도 김천시 자산로 71,128.1257368,36.12281373,공영,노외,57,유료,054-420-6843,20220916,00:00 - 23:59
KC490PC22N000517,송소고택 앞,경상북도 청송군 파천면 송소고택길 15-2,129.026556,36.43617486,공영,노외,50,무료,054-870-6144,20220919,00:00 - 23:59
KC490PC22N000529,동초등학교 임시공영주차장,전라북도 익산시 동서로 51길 57,126.9769609,35.95764099,공영,노상,80,무료,063-830-6803,20220917,00:00 - 23:59
KC490PC22N000562,서곶누리주차장,인천광역시 서구 대평로 43,126.6723554,37.54697255,공영,노외,68,유료,032-580-1170,20220901,00:00 - 23:59
KC490PC22N000563,정서진주차장,인천광역시 서구 가남로 416,126.6773643,37.5189583,공영,노외,78,유료,032-580-1170,20220901,00:00 - 23:59
KC490PC22N000564,신거북시장주차장,인천광역시 서구 거북로 117,126.6749354,37.5031447,공영,노외,116,유료,032-580-1170,20220901,00:00 - 23:59
KC490PC22N000566,북부시장 전용주차장,전라북도 익산시 인북로 259,126.9578012,35.95141308,공영,노상,131,무료,063-855-6891,20220917,12:00 - 23:59
KC490PC22N000567,만남의광장 주차장,전라북도 익산시 인북로 38길 1,126.959546,35.94709214,공영,노상,52,무료,063-859-5973,20220917,14:00 - 23:59
KC490PC22N000578,서구청1주차장(주차타워),인천광역시 서구 탁옥로51번길 26,126.675941,37.54606825,공영,노외,351,유료,032-580-1170,20220901,00:00 - 23:59
KC490PC22N000579,검단2주차장,인천광역시 서구 청마로167번길 19,126.6746299,37.59210015,공영,노외,64,유료,032-580-1170,20220901,09:00 - 19:00
KC490PC22N000626,스포원 주차장(서측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,129.1070434,35.28912108,공영,노외,167,무료,051-550-1772,20221028,00:00 - 23:59
KC490PC22N000627,스포원 주차장(북측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,129.1070434,35.28912108,공영,노외,677,무료,051-550-1772,20221028,00:00 - 23:59
KC490PC22N000628,철산동 상업지역 제2노상,경기도 광명시 오리로856번길 5-1,126.8675952,37.4750458,공영,노상,69,유료,02-2610-7390,20221028,10:00 - 19:00
KC490PC22N000629,하안동 상업지역 제1노상,경기도 광명시 범안로 1055,126.8805982,37.46355927,공영,노상,94,유료,02-2610-7390,20221028,10:00 - 19:00
KC490PC22N000631,목감천변 노상,경기도 광명시 목감로 220,126.8591668,37.48719746,공영,노상,124,무료,02-2680-6499,20221028,00:00 - 23:59
KC490PC22N000632,하안동 철골 노외,경기도 광명시 하안로 293-5,126.8798972,37.46146612,공영,노외,88,유료,02-2610-7390,20221028,00:00 - 23:59
KC490PC22N000633,소하동 제2노외,경기도 광명시 오리로 514,126.882324,37.4477776,공영,노외,58,유료,02-2680-6499,20221028,08:00 - 21:00
KC490PC22N000634,소하동 제4노외,경기도 광명시 소하로 81,126.8840264,37.44723629,공영,노외,52,유료,02-2680-6499,20221028,00:00 - 23:59
KC490PC22N000639,광명전통시장공영주차장,경기도 광명시 광명로 938,126.8560935,37.4823344,공영,부설,77,유료,02-2614-0006,20221028,00:00 - 23:59
KC490PC22N000643,정량노상주차장,경상남도 통영시 정동2길 39,128.431449,34.84450995,공영,노상,50,무료,055-650-5332,20221017,00:00 - 23:59
KC490PC22N000644,도천동횟집거리주차장,경상남도 통영시 통영해안로 141,128.4136747,34.83689606,공영,노상,59,유료,055-650-5332,20221017,09:00 - 23:59
KC490PC22N000645,안정주차장,경상남도 통영시 광도면 공단로 850,128.4207474,34.95814497,공영,노외,516,무료,055-650-5332,20221017,00:00 - 23:59
KC490PC22N000650,무전제2주차장,경상남도 통영시 무전4길 22-13,128.4237735,34.85947816,공영,노외,75,유료,055-650-5332,20221017,09:00 - 23:59
KC490PC22N000658,통제영주차장,경상남도 통영시 세병로 26,128.4237468,34.84686892,공영,노외,153,유료,055-645-3805,20221017,09:00 - 20:00
KC490PC22N000660,해양공원주차장,경상남도 창원시 진해구 명동로 62,128.4060523,34.82984394,공영,노외,80,유료,055-650-1414,20221017,09:00 - 18:00
KC490PC22N000665,거창교~원상동,경상남도 거창군 거창읍 강변로 69,127.904576,35.68404307,공영,노상,74,무료,055-940-3380,20221017,00:00 - 23:59
KC490PC22N000667,중앙교~중동주유소,경상남도 거창군 거창읍 거창대로 19,127.9174556,35.68352986,공영,노상,84,무료,055-940-3380,20221017,00:00 - 23:59
KC490PC22N000674,강변 둔치주차장,경상남도 거창군 거창읍 강변로 151,127.9144044,35.68502689,공영,노외,372,무료,055-940-3380,20221017,00:00 - 23:59
KC490PC22N000677,가조 온천관광지,경상남도 거창군 가조면 온천길 156,128.0220816,35.69887056,공영,노외,201,무료,055-940-3380,20221017,00:00 - 23:59
KC490PC22N000680,금원산자연휴양림,경상남도 거창군 위천면 금원산길 404-118,127.7929677,35.7334596,공영,노외,400,유료,055-254-3971,20221017,00:00 - 23:59
KC490PC22N000682,거창사건사업소,경상남도 거창군 신원면 신차로 2924,127.924857,35.55481868,공영,노외,160,무료,055-940-8510,20221017,00:00 - 23:59
KC490PC22N000691,거창읍 거점 공영주차장,경상남도 거창군 거창읍 중앙로1길 42,127.91481,35.6884287,공영,노외,50,유료,055-940-3382,20221017,00:00 - 23:59
KC490PC22N000693,오패산,서울특별시 강북구 도봉로34길 54,127.0311622,37.6220897,공영,노외,76,유료,02-944-3025,20221004,00:00 - 23:59
KC490PC22N000694,수유마을시장,서울특별시 강북구 도봉로69길 29,127.0218524,37.6305304,공영,노외,116,유료,02-944-3025,20221004,00:00 - 23:59
KC490PC22N000696,교통광장,서울특별시 강북구 삼양로 678,127.0126653,37.6633705,공영,노외,158,유료,02-944-3025,20221004,00:00 - 23:59
KC490PC22N000697,우이동,서울특별시 강북구 삼양로155길 33,127.0115891,37.6567143,공영,노외,82,유료,02-944-3025,20221004,00:00 - 23:59
